Armenian,English
բարեւ,hello
շնորհակալություն,thank you
հաց,bread
ջուր,water
ընկեր,friend
գիրք,book
տուն,house
սեր,love
աշխատանք,work
երեխա,child
հայր,father
մայր,mother
գեղեցիկ,beautiful
արեւ,sun
լուսին,moon
բարի լույս,good morning
բարի օր,good day
բարի երեկո,good evening
բարի գիշեր,good night
ցտեսություն,goodbye
խնդրում եմ,please
այո,yes
ոչ,no
ներեցեք,excuse me
կներեք,sorry
մեկ,one
երկու,two
երեք,three
չորս,four
հինգ,five
վեց,six
յոթ,seven
ութ,eight
ինը,nine
տասը,ten
տասնմեկ,eleven
տասներկու,twelve
տասներեք,thirteen
տասնչորս,fourteen
տասնհինգ,fifteen
տասնվեց,sixteen
տասնյոթ,seventeen
տասնութ,eighteen
տասնինը,nineteen
քսան,twenty
կարմիր,red
կապույտ,blue
կանաչ,green
դեղին,yellow
նարնջագույն,orange
մանուշակագույն,purple
վարդագույն,pink
շագանակագույն,brown
մոխրագույն,gray
սև,black
սպիտակ,white
երկուշաբթի,monday
երեքշաբթի,tuesday
չորեքշաբթի,wednesday
հինգշաբթի,thursday
ուրբաթ,friday
շաբաթ,saturday
կիրակի,sunday
հունվար,january
փետրվար,february
մարտ,march
ապրիլ,april
մայիս,may
հունիս,june
հուլիս,july
օգոստոս,august
սեպտեմբեր,september
հոկտեմբեր,october
նոյեմբեր,november
դեկտեմբեր,december
գարուն,spring
ամառ,summer
աշուն,autumn
ձմեռ,winter
ընտանիք,family
ծնող,parent
հայրիկ,dad
մայրիկ,mom
որդի,son
դուստր,daughter
եղբայր,brother
քույր,sister
պապիկ,grandfather
տատիկ,grandmother
թոռ,grandchild
ամուսին,husband
կին,wife
հորեղբայր,uncle
մորաքույր,aunt
զարմիկ,cousin
փեսա,son-in-law
հարս,daughter-in-law
անիծ,nephew
քրոջ աղջիկ,niece
գլուխ,head
մազ,hair
դեմք,face
ճակատ,forehead
աչք,eye
քիթ,nose
բերան,mouth
ղուն,lip
ատամ,tooth
լեզու,tongue
ականջ,ear
կզակ,chin
այտ,cheek
վիզ,neck
ուս,shoulder
բազուկ,arm
ձեռք,hand
մատ,finger
մեջք,back
կրծքավանդակ,chest
որովայն,belly
ոտք,leg
ծունկ,knee
ոտնաթափ,foot
ոտնամատ,toe
սիրտ,heart
ուղեղ,brain
թոք,lung
լյարդ,liver
ստամոքս,stomach
կենդանի,animal
շուն,dog
կատու,cat
կով,cow
ձի,horse
խոզ,pig
ոչխար,sheep
այծ,goat
հավ,chicken
բադ,duck
թռչուն,bird
արջ,bear
գայլ,wolf
առյուծ,lion
վագր,tiger
փիղ,elephant
կապիկ,monkey
ձուկ,fish
օձ,snake
մուկ,mouse
կապ,rabbit
ճագար,hare
աղվես,fox
սարդ,spider
մեղու,bee
թիթեռ,butterfly
ճանճ,fly
մրջյուն,ant
մոծակ,mosquito
գորտ,frog
կրիա,turtle
ծովաձուկ,shark
կետ,whale
դելֆին,dolphin
ուտելիք,food
սնունդ,meal
ճաշ,dinner
նախաճաշ,breakfast
լանչ,lunch
կաթ,milk
պանիր,cheese
կարագ,butter
ձու,egg
միս,meat
բանջարեղեն,vegetables
խնձոր,apple
բանան,banana
նարինջ,orange
ելակ,strawberry
դեղձ,peach
բալ,cherry
կարտոֆիլ,potato
սոխ,onion
սխտոր,garlic
վարունգ,cucumber
լոլիկներ,tomatoes
թեյ,tea
սուրճ,coffee
գարեջուր,beer
գինի,wine
ծիրան,apricot
տանձ,pear
սունկ,mushroom
շաքար,sugar
աղ,salt
հյութ,juice
օղի,vodka
լավաշ,lavash
դոլմա,dolma
խորոված,barbecue
գաթա,gata
հագուստ,clothes
վերարկու,coat
զգեստ,dress
վերնաշապիկ,shirt
տաբատ,pants
կոշիկ,shoes
գուլպա,socks
գլխարկ,hat
ակնոց,glasses
ժամացույց,watch
մատանի,ring
հովանոց,umbrella
դրամապանակ,wallet
կոստյում,suit
բրդյա,sweater
փողկապ,tie
բաճկոն,jacket
ձեռնոց,gloves
գոտի,belt
ներքնազգեստ,underwear
տուն,house
բնակարան,apartment
սենյակ,room
ննջասենյակ,bedroom
խոհանոց,kitchen
լվացասենյակ,bathroom
նստասենյակ,living room
միջանցք,hallway
աթոռ,chair
սեղան,table
մահճակալ,bed
պահարան,closet
հայելի,mirror
լամպ,lamp
բարձ,pillow
ծածկույթ,blanket
վարագույր,curtain
ճեռարմունակ,refrigerator
օջախ,stove
լվացք,washing machine
հեռուստացույց,television
ռադիո,radio
հեռախոս,telephone
դուռ,door
պատուհան,window
պատ,wall
հատակ,floor
առաստաղ,ceiling
ուրախություն,happiness
ուրախ,happy
տխրություն,sadness
տխուր,sad
զայրույթ,anger
զայրացած,angry
վախ,fear
վախենալ,to fear
սիրել,to love
ատել,to hate
ցավ,pain
ցավացած,hurt
զարմանք,astonishment
հուսահատ,disappointed
ամոթ,shame
կարոտ,longing
հպարտություն,pride
հպարտ,proud
նյարդայնացած,nervous
հանգիստ,calm
հուսալի,hopeful
գեղեցիկ,beautiful
գիր,ugly
մեծ,big
փոքր,small
բարձր,tall
ցածր,short
հին,old
նոր,new
արագ,fast
դանդաղ,slow
ծանր,heavy
թեթև,light
լավ,good
վատ,bad
ճիշտ,correct
սխալ,wrong
շատ,many
քիչ,few
ամեն,every
բոլոր,all
այս,this
այն,that
այստեղ,here
այնտեղ,there
առաջ,forward
հետ,behind
վեր,up
ներքև,down
ներս,inside
դուրս,outside
մոտ,near
հեռու,far
հիմա,now
երբ,when
որտեղ,where
ինչու,why
ինչպես,how
ով,who
ինչ,what
որ,which
լռություն,silence
աղմուկ,noise
ուժեղ,strong
թույլ,weak
բարև,open
փակ,closed
մեքենա,car
մարդատար,bus
գնացք,train
ինքնաթիռ,airplane
նավ,ship
հեծանիվ,bicycle
մոտոցիկլ,motorcycle
տակսի,taxi
դաջակ,truck
մետրո,subway
կայարան,station
օդանավակայան,airport
նավահանգիստ,port
ճանապարհ,road
փողոց,street
խաչմերուկ,intersection
թունելի,tunnel
կամուրջ,bridge
վաստակ,job
բժիշկ,doctor
բուժքույր,nurse
ուսուցիչ,teacher
ուսանող,student
տնօրեն,director
բանվոր,worker
ինժեներ,engineer
խոհարար,cook
վարորդ,driver
բանակցի,soldier
ոստիկան,police
կրակարար,firefighter
հայտարարիչ,announcer
գրող,writer
նկարիչ,painter
երաժիշտ,musician
պարող,dancer
մանկավարժ,kindergarten teacher
գիտնական,scientist
լրագրող,journalist
կտրող,barber
վաճառակիցներ,salesperson
մագիստրատուրա,manager
փաստաբան,lawyer
հավաքիչ,collector
մարզիկ,athlete
քաղաք,city
գյուղ,village
երկիր,country
համայնապետարան,town hall
կիրակիյի,church
մզկիթ,mosque
դպրոց,school
համալսարան,university
հիվանդանոց,hospital
դեղատուն,pharmacy
խանութ,store
սուպերմարկետ,supermarket
գրադարան,library
բանկ,bank
հյուրանոց,hotel
ռեստորան,restaurant
կիթարոն,cafe
թանգարան,museum
պարկ,park
կինոթատրոն,cinema
թատրոն,theater
մարզադահլիճ,gym
լողավազան,swimming pool
շուկա,market
այգի,garden
ծով,sea
գետ,river
լիճ,lake
լեռ,mountain
անտառ,forest
անապատ,desert
կղզի,island
ժամանակ,time
ժամ,hour
րոպե,minute
վայրկյան,second
օր,day
գիշեր,night
առավոտ,morning
երեկո,evening
կեսօր,noon
կեսգիշեր,midnight
այսօր,today
վաղը,tomorrow
երեկ,yesterday
հիմա,now
անգայ,later
վերջապես,finally
սկիզբ,beginning
վերջ,end
շուտ,early
ուշ,late
միշտ,always
երբեք,never
հաճախ,often
երբեմն,sometimes
արագ,quickly
դանդաղ,slowly
եղանակ,weather
արեւ,sun
լուսին,moon
աստղ,star
ամպ,cloud
անձրեւ,rain
ձյուն,snow
քամի,wind
կայծակ,lightning
որոտ,thunder
ցուրտ,cold
տաք,hot
տաք,warm
գարուն,spring
ամառ,summer
աշուն,autumn
ձմեռ,winter
ծաղիկ,flower
ծառ,tree
տերևներ,leaves
խոտ,grass
քար,stone
բարձունք,hill
ցածրություն,valley
հող,soil
մոլորակ,planet
երկինք,sky
լինել,to be
ունենալ,to have
անել,to do
գնալ,to go
գալ,to come
տեսնել,to see
լսել,to hear
խոսել,to speak
ասել,to say
կարդալ,to read
գրել,to write
ուտել,to eat
խմել,to drink
քնել,to sleep
արթնանալ,to wake up
նստել,to sit
կանգնել,to stand
վազել,to run
քայլել,to walk
պարել,to dance
երգել,to sing
միավորվել,to swim
թռչել,to fly
ծիծաղել,to laugh
լալ,to cry
շունչ առնել,to breathe
գիտել,to know
սիրել,to love
ատել,to hate
ուզել,to want
կարողանալ,to be able
պետք է,must
տալ,to give
վերցնել,to take
բերել,to bring
կարդալ,to buy
վաճառել,to sell
բացել,to open
փակել,to close
միավորվել,to start
ավարտել,to finish
ստեղծել,to create
փչել,to destroy
շինել,to build
կոտրել,to break
վերանորոգել,to repair
կանչել,to call
պատասխանել,to answer
հարցնել,to ask
մտածել,to think
հիշել,to remember
մոռանալ,to forget
սովորել,to learn
ուսուցանել,to teach
աշխատել,to work
խաղալ,to play
հանգստանալ,to rest
կրթություն,education
դաս,lesson
գրքույկ,notebook
մատիտ,pencil
գրիչ,pen
թղթակից,eraser
ուսուցանել,blackboard
քիմիա,chemistry
ֆիզիկա,physics
մաթեմատիկա,mathematics
պատմություն,history
աշխարհագրություն,geography
կենսաբանություն,biology
գրականություն,literature
արտ,art
երաժշտություն,music
դաշնամուր,piano
կիթառ,guitar
ջութակ,violin
քննություն,exam
գնահատական,grade
դիպլոմ,diploma
վկայական,certificate
համակարգիչ,computer
թեդ,laptop
հեռախոս,phone
բջջային,mobile
ինտերնետ,internet
էլեկտրոնային մեթոդ,email
կայք,website
ծրագիր,program
ֆայլ,file
տվյալներ,data
ծածկագիր,password
էկրան,screen
ստեղնաշարք,keyboard
մկնիկ,mouse
թղթակից,printer
երաժշտություն,music
ծայր,camera
նկար,photo
վիդեո,video
խղդ,game
հավելված,application
ծարով,cable
լիցքավորիչ,charger
ապեր,health
բուժում,treatment
ցավ,pain
ստամոքս ցավ,stomach ache
գլխացավ,headache
ջերմություն,fever
հազ,cough
շնչառություն,breathing
ճանապահ,medicine
հանսու,pill
ազյա,injection
փայգամ,bandage
հզոր,strong
թարգիլ,exercise
դիետա,diet
պնդուկ,vitamin
կլանկ,healthy
ապ,sick
չանատ,surgery
արյուն,blood
նյարդ,nerve
ոսկր,bone
մկան,muscle
մարզություն,sport
ֆուտբոլ,football
ֆուբկիսկեխ,basketball
թեիս,tennis
լողք,swimming
առաջիկա,running
վկել,boxing
կարատե,karate
դաստ,dance
ֆիտնես,fitness
մարզադահլից,stadium
մասշտաբ,match
խաղ,game
ակումբ,team
մուդղյակ,player
հաղթել,to win
կություն,to lose
գամբց,victory
պարտություն,defeat
պլ,ball
կմբր,medal
շրտված,trophy
ֆան,fan
փող,money
դոլար,dollar
եվրո,euro
դրամ,dram
բանկ,bank
քարտ,card
կանխիկ,cash
գին,price
արդեունք,cost
վճարում,payment
գումար,amount
գանել,to buy
մճում,to sell
առևտուր,business
խանութ,shop
վաճառող,seller
գնորդ,buyer
հատապենդ,receipt
հարկ,tax
առաջարկություն,offer
տոկոս,percentage
տոկոս,interest
ռանճմ,discount
քար,stone
մետաղ,metal
փայտ,wood
կլած,glass
պլաստիկ,plastic
քարտոն,paper
փմբ,fabric
գույն,color
նկար,picture
նշ,object
աղ,tool
սկիզբ,machine
ելապ,electricity
կողմ,power
տակ,energy
լույս,light
վար,darkness
բալց,fire
ջուր,water
մաք,oil
գադ,gas
լայք,air
բարբի,smoke
ես,I
դու,you
նա,he/she
մենք,we
դուք,you (plural)
նրանք,they
իմ,my
քո,your
նրա,his/her
մեր,our
ձեր,your (plural)
նրանց,their
եմ,am
ես,is
ենք,are
էի,was
էր,was
էինք,were
էին,were
կլինեմ,will be
կլինես,will be
կլինի,will be
ունեմ,have
ունես,have
ունի,has
գիտեմ,know
գիտես,know
գիտի,knows
չգիտեմ,don't know
կարող եմ,can
կարող ես,can
կարող է,can
չեմ կարող,cannot
ուզում եմ,want
ուզում ես,want
ուզում է,wants
չեմ ուզում,don't want
սիրում եմ,love
սիրում ես,love
սիրում է,loves
չեմ սիրում,don't love
աջ,right
ձախ,left
ուղիղ,straight
հյուսիս,north
հարավ,south
արևելք,east
արևմուտք,west
կենտրոն,center
մեջ,middle
անկյուն,corner
կողք,side
վեր,top
ներքև,bottom
առջևում,front
հետևում,back
քաղաք,around
արտաքին,outside
նավն,inside
վերցք,between
դեմ,opposite
առջև,before
հետո,after
գեռցածը,during
երկար,along
սկսել,to start
ավարտել,to finish
շարունակել,to continue
դադարել,to stop
դադարեցնել,to pause
փորձել,to try
կարծել,to think
հուսալ,to hope
երազել,to dream
նախընտրել,to prefer
ընտրել,to choose
որոշել,to decide
կրկնել,to repeat
փոխել,to change
օգտագործել,to use
գտնել,to find
կորցնել,to lose
պահել,to keep
թողնել,to leave
բերել,to bring
տանել,to take
ուղարկել,to send
ստանալ,to receive
բացառել,to explain
հասկանալ,to understand
չհասկանալ,to misunderstand
կապել,to connect
կտրել,to cut
խառնել,to mix
բաժանել,to divide
հավաքել,to collect
ցրել,to spread
երեսուն,thirty
քառասուն,forty
հիսուն,fifty
վաթսուն,sixty
յոթանասուն,seventy
ութսուն,eighty
իննսուն,ninety
հարյուր,hundred
հազար,thousand
միլիոն,million
առաջին,first
երկրորդ,second
երրորդ,third
չորրորդ,fourth
հինգերորդ,fifth
սափոր,plate
բաժակ,cup
պատառ,spoon
դանակ,knife
գտնակ,fork
թասակ,bowl
սուրճի բաժակ,coffee cup
ջրի բաժակ,water glass
սկտակ,pan
կաթսա,pot
ծոցիկ,towel
օճառ,soap
ատաց,toothbrush
ատամի մածուկ,toothpaste
շամպուն,shampoo
մատր,comb
ալողարկ,brush
հալիկ,razor
ծակոտի,scissors
հյուսակ,needle
մէղ,thread
լվեր,candle
մասակ,key
պահուստ,box
պայուսակ,bag
ցոյց,bottle
փակ,lid
ծավալ,container
տաք,warm
ցուրտ,cool
շոգ,hot
սառի,cold
չուն,dry
թաց,wet
մաքուր,clean
կեղտոտ,dirty
նոր,fresh
հին,stale
քաղցր,sweet
տաց,sour
գիր,bitter
աղի,salty
ձնամ,sharp
սուսար,dull
մելն,soft
դարյ,hard
մկից,smooth
դաճն,rough
լայն,wide
նարբր,narrow
խորիս,deep
մակերեսավոր,shallow
լեսիս,full
չաչ,empty
հարուր,rich
ցեն,poor
հավ,famous
անհայտ,unknown
մտք,mind
հոգի,soul
հանգամանք,spirit
միավոր,idea
մտածելակերպ,thought
խելք,wisdom
տբուեսմ,knowledge
հաշմանդամություն,ignorance
կյանք,life
մահ,death
ծնունդ,birth
մյուք,future
անցյալ,past
ներկայություն,present
բախտ,luck
ցելուս,chance
ջանք,effort
գանգ,success
ջահեր,failure
հույս,hope
կարծաց,opinion
հավատք,belief
կռանք,religion
աստված,god
գպալ,prayer
ստիպ,truth
սուտ,lie
հակառակություն,justice
անարդարություն,injustice
այնպիսի,peace
պանտահար,war
հակդ,battle
հակամվ,victory
պարտություն,defeat
խաղել,power
թռչլակություն,weakness
թունջլություն,strength
տհասն,courage
վախ,fear
վգմարություն,danger
անվտանգություն,safety
լսոր,news
հաղորիակ,message
հրաւիրականություն,invitation
պատահ,event
կանոն,rule
օրենք,law
վգգություն,permission
արգելք,prohibition
տակն,problem
լուծում,solution
հրց,question
պատասխան,answer
իմաստ,meaning
գնգություն,purpose
տհակվածություն,reason
դյութ,cause
արգալ,result
ֆր,effect
տրամ,difference
նմանություն,similarity
մերվակ,comparison
առհանակ,advantage
կուլծ,disadvantage
վտ,benefit
գաղ,harm
օգուտ,help
մանդակ,support
բնադիր,protection
ալգ,attack
վառություն,defense
մակարդակ,level
աված,degree
չխնթ,quality
քանակությունը,quantity
չափ,size
բարծրություն,height
լայնություն,width
կլարություն,length
վտգ,weight
ծտություն,volume
լգ,area
չռություն,distance
ճանահր,speed
ժամանակ,duration
վգից,frequency
կրկննություն,repetition
հագար,habit
սովորություն,custom
ավանդություն,tradition
մշակույթ,culture
հաճություն,history
մարդակ,humanity
գունավոր,colorful
սահուն,smooth
կոշտ,rough
բուրդ,thick
բարակ,thin
ընդարձակ,spacious
նեղ,narrow
բարձր,high
ցածր,low
հարուստ,rich
աղքատ,poor
ազատ,free
գերի,prisoner
ժողովուրդ,people
ազգ,nation
պետություն,state
քաղաքացի,citizen
այցելու,visitor
հյուր,guest
տեր,owner
ծառա,servant
ղեկավար,leader
հետևորդ,follower
բարեկամ,friend
թշնամի,enemy
ծանոթ,acquaintance
օտարական,stranger
հարևան,neighbor
գործընկեր,partner
մրցակից,competitor
օգնական,assistant
խորհրդատու,advisor
ուսուցիչ,instructor
աշակերտ,pupil
մենտոր,mentor
մի,rival
դաշնակից,ally
հակառակորդ,opponent
փոխարինող,substitute
ներկայացուցիչ,representative
դեսպան,ambassador
բանագնաց,negotiator
միջնորդ,mediator
երաջիշտ,arbitrator
դատավոր,judge
ցուկել,jury
մցե,witness
մեղադրանք,accusation
պաշտպանություն,defense
ապացույց,evidence
դատավճիռ,verdict
տուգանք,fine
բանտ,prison
ազատություն,freedom
պարտավորություն,duty
իրավունք,right
նախապատվություն,privilege
պատասխանատվություն,responsibility
մանգցություն,authority
վարելաոճ,power
ազդեցություն,influence
վտմում,control
կառավարում,management
առաջնորդություն,leadership
ղեկավարություն,supervision
հսկողություն,monitoring
ճանապուս,surveillance
պաշտպանություն,protection
պահպանություն,preservation
պահպանում,conservation
վերականգնում,restoration
վերանորոգում,renovation
գմանովորում,improvement
բարելավում,enhancement
զարգացում,development
առաջընթաց,progress
հաջողություն,achievement
գմիր,accomplishment
հանցագործություն,victory
պարտություն,defeat
մերսակ,failure
կրաշ,mistake
սխալ,error
տհասրություն,weakness
պակաս,shortage
բացակայություն,absence
ներկայություն,presence
գյուղ,attendance
մասնակցություն,participation
մերդկություն,involvement
հանձնառություն,commitment
նվիրվածություն,dedication
վերզոհություն,sacrifice
ծություն,service
կրակ,volunteer
բնակ,donation
օգնություն,charity
